Category,Subcategory,Subject,Start Date,Date Type,Calendar Type,Notes,URL,Description
Federal Holiday,,New Year's Day,1/1/2024,Fixed,Gregorian,,https://www.redcort.com/us-federal-bank-holidays,"Category: Federal Holiday
Subcategory: 
Date Type: Fixed
Calendar Type: Gregorian
Notes: 
URL: https://www.redcort.com/us-federal-bank-holidays"
Federal Holiday,,Martin Luther King Jr. Day,1/15/2024,Floating,Gregorian,3rd Mon in Jan,https://www.redcort.com/us-federal-bank-holidays,"Category: Federal Holiday
Subcategory: 
Date Type: Floating
Calendar Type: Gregorian
Notes: 3rd Mon in Jan
URL: https://www.redcort.com/us-federal-bank-holidays"
Cultural,,Australia Day,1/26/2024,Fixed,Gregorian,,,"Category: Cultural
Subcategory: 
Date Type: Fixed
Calendar Type: Gregorian
Notes: 
URL: "
Cultural,,Groundhog Day,2/2/2024,Fixed,Gregorian,,,"Category: Cultural
Subcategory: 
Date Type: Fixed
Calendar Type: Gregorian
Notes: 
URL: "
Remembrance,,Rosa Parks Day,2/4/2024,Fixed,Gregorian,Date celebrated in California and Missouri,,"Category: Remembrance
Subcategory: 
Date Type: Fixed
Calendar Type: Gregorian
Notes: Date celebrated in California and Missouri
URL: "
Religious,Muslim,Isra and Mi'raj,2/7/2024,Floating,Lunisolar,"27th day of Rajab, the seventh month in the Islamic calendar. Also known as Al Isra' wal Miraj or Prophet's Ascension.",,"Category: Religious
Subcategory: Muslim
Date Type: Floating
Calendar Type: Lunisolar
Notes: 27th day of Rajab, the seventh month in the Islamic calendar. Also known as Al Isra' wal Miraj or Prophet's Ascension.
URL: "
Cultural,,Lunar New Year,2/10/2024,Floating,Lunisolar,New moon on the first day of the first lunar month,https://nationaldaycalendar.com/chinese-new-year-changes-annually/,"Category: Cultural
Subcategory: 
Date Type: Floating
Calendar Type: Lunisolar
Notes: New moon on the first day of the first lunar month
URL: https://nationaldaycalendar.com/chinese-new-year-changes-annually/"
Religious,Christianity,Mardi Gras,2/13/2024,Floating,Lunisolar,47 days before Easter Sunday. Also known as Shrove Tuesday or Fat Tuesday.,,"Category: Religious
Subcategory: Christianity
Date Type: Floating
Calendar Type: Lunisolar
Notes: 47 days before Easter Sunday. Also known as Shrove Tuesday or Fat Tuesday.
URL: "
Religious,Christianity,Ash Wednesday,2/14/2024,Floating,Lunisolar,46 days before Easter. Also known as Lent.,,"Category: Religious
Subcategory: Christianity
Date Type: Floating
Calendar Type: Lunisolar
Notes: 46 days before Easter. Also known as Lent.
URL: "
Cultural,,Valentine's Day,2/14/2024,Fixed,Gregorian,,,"Category: Cultural
Subcategory: 
Date Type: Fixed
Calendar Type: Gregorian
Notes: 
URL: "
Federal Holiday,,George Washington's Birthday,2/19/2024,Floating,Gregorian,3rd Mon in Feb. Also known as Presidents' Day.,https://www.redcort.com/us-federal-bank-holidays,"Category: Federal Holiday
Subcategory: 
Date Type: Floating
Calendar Type: Gregorian
Notes: 3rd Mon in Feb. Also known as Presidents' Day.
URL: https://www.redcort.com/us-federal-bank-holidays"
Seasonal,,Leap Day,2/29/2024,Fixed,Gregorian,,,"Category: Seasonal
Subcategory: 
Date Type: Fixed
Calendar Type: Gregorian
Notes: 
URL: "
Seasonal,,Daylight Saving Time starts,3/10/2024,Floating,Gregorian,2nd Sun in Mar,https://fas.org/sgp/crs/misc/R45208.pdf,"Category: Seasonal
Subcategory: 
Date Type: Floating
Calendar Type: Gregorian
Notes: 2nd Sun in Mar
URL: https://fas.org/sgp/crs/misc/R45208.pdf"
Religious,Muslim,Ramadan,3/10/2024,Floating,Lunisolar,"1st day of the ninth month of the Islamic calendar, which is determined by the sighting of the crescent moon",,"Category: Religious
Subcategory: Muslim
Date Type: Floating
Calendar Type: Lunisolar
Notes: 1st day of the ninth month of the Islamic calendar, which is determined by the sighting of the crescent moon
URL: "
Cultural,Religious,St. Patrick's Day,3/17/2024,Fixed,Gregorian,,,"Category: Cultural
Subcategory: Religious
Date Type: Fixed
Calendar Type: Gregorian
Notes: 
URL: "
Seasonal,,Spring Equinox,3/19/2024,Floating,Lunisolar,"When the Sun stands directly above the equator while crossing from the south to the north. Day and night of equal length, marking the start of spring",https://www.britannica.com/story/whats-the-difference-between-a-solstice-and-an-equinox,"Category: Seasonal
Subcategory: 
Date Type: Floating
Calendar Type: Lunisolar
Notes: When the Sun stands directly above the equator while crossing from the south to the north. Day and night of equal length, marking the start of spring
URL: https://www.britannica.com/story/whats-the-difference-between-a-solstice-and-an-equinox"
Religious,Christianity,Palm Sunday,3/24/2024,Floating,Lunisolar,Sunday before Easter Sunday,,"Category: Religious
Subcategory: Christianity
Date Type: Floating
Calendar Type: Lunisolar
Notes: Sunday before Easter Sunday
URL: "
Religious,Hinduism,Holi,3/25/2024,Floating,Lunisolar,Last full moon day of the Hindu calendar month marking the spring,,"Category: Religious
Subcategory: Hinduism
Date Type: Floating
Calendar Type: Lunisolar
Notes: Last full moon day of the Hindu calendar month marking the spring
URL: "
Religious,Christianity,Good Friday,3/29/2024,Floating,Lunisolar,Friday before Easter,,"Category: Religious
Subcategory: Christianity
Date Type: Floating
Calendar Type: Lunisolar
Notes: Friday before Easter
URL: "
Religious,Christianity,Holy Saturday,3/30/2024,Floating,Lunisolar,Saturday before Easter,,"Category: Religious
Subcategory: Christianity
Date Type: Floating
Calendar Type: Lunisolar
Notes: Saturday before Easter
URL: "
Religious,Christianity,Easter Sunday,3/31/2024,Floating,Lunisolar,1st Sunday after the first full moon that occurs on or after the vernal equinox,,"Category: Religious
Subcategory: Christianity
Date Type: Floating
Calendar Type: Lunisolar
Notes: 1st Sunday after the first full moon that occurs on or after the vernal equinox
URL: "
