Category,Subcategory,Subject,Start Date,End Date,Global,Year Founded,Host Org,Notes,URL,Description
Month,Animal,Adopt a Rescued Bird Month,1/1/2024,1/31/2024,No,,,,https://nationaltoday.com/adopt-a-rescued-bird-month/,"Category: Observance Month
Subcategory: Animal
Global: No
Notes: 
URL: https://nationaltoday.com/adopt-a-rescued-bird-month/"
Month,Animal,National Train Your Dog Month,1/1/2024,1/31/2024,No,,,,https://nationaltoday.com/national-train-dog-month/,"Category: Observance Month
Subcategory: Animal
Global: No
Notes: 
URL: https://nationaltoday.com/national-train-dog-month/"
Month,Animal,Unchain a Dog Month,1/1/2024,1/31/2024,No,,,,https://nationaltoday.com/unchain-dog-month/,"Category: Observance Month
Subcategory: Animal
Global: No
Notes: 
URL: https://nationaltoday.com/unchain-dog-month/"
Month,Animal,Walk Your Dog Month,1/1/2024,1/31/2024,No,,,,https://nationaltoday.com/walk-dog-month/,"Category: Observance Month
Subcategory: Animal
Global: No
Notes: 
URL: https://nationaltoday.com/walk-dog-month/"
Month,Appreciation,National Pre-Pregnancy Awareness Month,1/1/2024,1/31/2024,No,,,,https://nationaltoday.com/national-pre-pregnancy-awareness-month/,"Category: Observance Month
Subcategory: Appreciation
Global: No
Notes: 
URL: https://nationaltoday.com/national-pre-pregnancy-awareness-month/"
Month,Appreciation,National Thank You Month,1/1/2024,1/31/2024,No,,,,https://nationaltoday.com/national-thank-you-month/,"Category: Observance Month
Subcategory: Appreciation
Global: No
Notes: 
URL: https://nationaltoday.com/national-thank-you-month/"
Month,Arts & Entertainment,National Polka Month,1/1/2024,1/31/2024,No,,,,https://nationaltoday.com/national-polka-month/,"Category: Observance Month
Subcategory: Arts & Entertainment
Global: No
Notes: 
URL: https://nationaltoday.com/national-polka-month/"
Month,Arts & Entertainment,Rising Star Month,1/1/2024,1/31/2024,No,,,,https://nationaltoday.com/rising-star-month/,"Category: Observance Month
Subcategory: Arts & Entertainment
Global: No
Notes: 
URL: https://nationaltoday.com/rising-star-month/"
Month,Cause,Children Impacted by Parent's Cancer Month,1/1/2024,1/31/2024,No,,,,https://nationaltoday.com/children-impacted-by-parents-cancer-month/,"Category: Observance Month
Subcategory: Cause
Global: No
Notes: 
URL: https://nationaltoday.com/children-impacted-by-parents-cancer-month/"
Month,Cause,Manuary,1/1/2024,1/31/2024,No,,,,https://nationaltoday.com/manuary/,"Category: Observance Month
Subcategory: Cause
Global: No
Notes: 
URL: https://nationaltoday.com/manuary/"
