Category,Subcategory,Subject,Location,Start Date,End Date,Notes,URL,Description
Arts & Culture,Art,Epcot International Festival of the Arts,"Orlando, FL",1/12/2024,2/19/2024,"Epcot International Festival of the Arts, celebration of visual, culinary and performing arts from around the world",https://disneyworld.disney.go.com/events-tours/epcot/epcot-international-festival-of-the-arts/,"Category: Arts & Culture
Subcategory: Art
Notes: Epcot International Festival of the Arts, celebration of visual, culinary and performing arts from around the world
URL: https://disneyworld.disney.go.com/events-tours/epcot/epcot-international-festival-of-the-arts/"
Arts & Culture,Art,Frieze LA,"Los Angeles, CA",2/29/2024,3/3/2024,Projected to be in July,https://www.frieze.com/fairs/frieze-los-angeles,"Category: Arts & Culture
Subcategory: Art
Notes: Projected to be in July
URL: https://www.frieze.com/fairs/frieze-los-angeles"
Arts & Culture,Art,Salone Internazionale del Mobile,"Milan, Italy",4/16/2024,4/21/2024,,https://www.salonemilano.it/en/exhibitions/salone-internazionale-del-mobile,"Category: Arts & Culture
Subcategory: Art
Notes: 
URL: https://www.salonemilano.it/en/exhibitions/salone-internazionale-del-mobile"
Arts & Culture,Art,Frieze NY,"New York City, NY",5/1/2024,5/5/2024,,https://www.frieze.com/fairs/frieze-new-york,"Category: Arts & Culture
Subcategory: Art
Notes: 
URL: https://www.frieze.com/fairs/frieze-new-york"
Arts & Culture,Art,Vivid Sydney,"Sydney, Australia",5/24/2024,6/15/2024, ,https://www.sydneypoint.com.au/events/vivid-sydney/,"Category: Arts & Culture
Subcategory: Art
Notes:  
URL: https://www.sydneypoint.com.au/events/vivid-sydney/"
Arts & Culture,Art,Art Basel,"Basel, Switzerland",6/13/2024,6/16/2024,,https://www.artbasel.com/basel/at-the-show,"Category: Arts & Culture
Subcategory: Art
Notes: 
URL: https://www.artbasel.com/basel/at-the-show"
Arts & Culture,Art,Artscape,"Baltimore, MD",8/2/2024,8/4/2024,,http://www.artscape.org/,"Category: Arts & Culture
Subcategory: Art
Notes: 
URL: http://www.artscape.org/"
Arts & Culture,Art,Fringe Festival,"Edinburgh, UK",8/2/2024,8/26/2024, ,"https://www.edfringe.com/experience/what-is-the-festival-fringe#:~:text=Based%20on%20the%20information%20currently,as%2006%20to%2030%20August.","Category: Arts & Culture
Subcategory: Art
Notes:  
URL: https://www.edfringe.com/experience/what-is-the-festival-fringe#:~:text=Based%20on%20the%20information%20currently,as%2006%20to%2030%20August."
Arts & Culture,Art,Burning Man,"Black Rock City, NV",8/25/2024,9/2/2024,Typically held in September,https://burningman.org/,"Category: Arts & Culture
Subcategory: Art
Notes: Typically held in September
URL: https://burningman.org/"
Arts & Culture,Art,Art Basel,"Miami, FL",TBD,TBD,"Modern and contemporary art fair Art Basel Miami Beach, featuring showcases from the world's leading art galleries from North America, Latin America, Europe, the Middle East, Africa and Asia",https://www.artbasel.com/miami-beach,"Category: Arts & Culture
Subcategory: Art
Notes: Modern and contemporary art fair Art Basel Miami Beach, featuring showcases from the world's leading art galleries from North America, Latin America, Europe, the Middle East, Africa and Asia
URL: https://www.artbasel.com/miami-beach"
Arts & Culture,Art,Smithsonian Photo Contest,TBD,TBD,,"Date given is when finalists are announced. The Grand Prize and Reader's Choice will be announced 31 Mar. 19th annual Smithsonian Photo Contest category finalists announced. Categories include The American Experience, Natural World, Travel, People, Altered Image and Mobile.",www.si.edu,"Category: Arts & Culture
Subcategory: Art
Notes: Date given is when finalists are announced. The Grand Prize and Reader's Choice will be announced 31 Mar. 19th annual Smithsonian Photo Contest category finalists announced. Categories include The American Experience, Natural World, Travel, People, Altered Image and Mobile.
URL: www.si.edu"
Arts & Culture,Art,Herb Alpert Awards,TBD,TBD,,"Winners of the 28th annual Herb Alpert Award in the Arts (HAAIA) announced, celebrating risk-taking, mid-career artists who are challenging and transforming their respective disciplines of dance, film/video, music, theater and visual arts. Each artist receives a $75,000 unrestricted prize and a one-week residency at CalArts",https://www.herbalpertfoundation.org/,"Category: Arts & Culture
Subcategory: Art
Notes: Winners of the 28th annual Herb Alpert Award in the Arts (HAAIA) announced, celebrating risk-taking, mid-career artists who are challenging and transforming their respective disciplines of dance, film/video, music, theater and visual arts. Each artist receives a $75,000 unrestricted prize and a one-week residency at CalArts
URL: https://www.herbalpertfoundation.org/"
Arts & Culture,Art,Smithsonian Museum Day,"New York City, NY",TBD,, ,"https://www.smithsonianmag.com/museumday/museum-day-2020/#:~:text=We%20look%20forward%20to%20seeing,curiosity%20hosted%20by%20Smithsonian%20magazine.","Category: Arts & Culture
Subcategory: Art
Notes:  
URL: https://www.smithsonianmag.com/museumday/museum-day-2020/#:~:text=We%20look%20forward%20to%20seeing,curiosity%20hosted%20by%20Smithsonian%20magazine."
Arts & Culture,Art,Lucie Awards,"New York City, NY",TBD,,"19th annual Lucie Awards, recognizing the achievements of the world's finest photographers; discovering new and emerging talent; and promoting the appreciation of photography",www.lucies.org,"Category: Arts & Culture
Subcategory: Art
Notes: 19th annual Lucie Awards, recognizing the achievements of the world's finest photographers; discovering new and emerging talent; and promoting the appreciation of photography
URL: www.lucies.org"
Arts & Culture,Art,ComplexCon,"Long Beach, CA",TBD,,"ComplexCon, pop culture convention and festival from the makers of Complex magazine, billed as 'our generation's World Fair'.",http://complexcon.com/,"Category: Arts & Culture
Subcategory: Art
Notes: ComplexCon, pop culture convention and festival from the makers of Complex magazine, billed as 'our generation's World Fair'.
URL: http://complexcon.com/"
Arts & Culture,Art,LA3C,"Los Angeles, CA",TBD,,"LA3C, inaugural three-day festival celebrating the creativity and culture of Los Angeles. The festival takes place at multiple venues throughout LA County and includes comedy events, live concerts, culinary experiences, and leading-actor roundtables",https://www.la3c.com/,"Category: Arts & Culture
Subcategory: Art
Notes: LA3C, inaugural three-day festival celebrating the creativity and culture of Los Angeles. The festival takes place at multiple venues throughout LA County and includes comedy events, live concerts, culinary experiences, and leading-actor roundtables
URL: https://www.la3c.com/"
Arts & Culture,Art,Frieze London,"London, UK",TBD,, ,https://www.frieze.com/fairs/frieze-london,"Category: Arts & Culture
Subcategory: Art
Notes:  
URL: https://www.frieze.com/fairs/frieze-london"
Arts & Culture,Astrology,Mercury In Retrograde,,12/13/2023,1/1/2024,,https://cafeastrology.com/astrology-of-2023.html,"Category: Arts & Culture
Subcategory: Astrology
Notes: 
URL: https://cafeastrology.com/astrology-of-2022.html"
Arts & Culture,Astrology,Aquarius Season,,1/20/2024,2/18/2024,,https://horoscopes.astro-seek.com/astrological-calendar-2024,"Category: Arts & Culture
Subcategory: Astrology
Notes: 
URL: https://horoscopes.astro-seek.com/astrological-calendar-2032"
Arts & Culture,Astrology,Pisces Season,,2/19/2024,3/19/2024,,https://horoscopes.astro-seek.com/astrological-calendar-2033,"Category: Arts & Culture
Subcategory: Astrology
Notes: 
URL: https://horoscopes.astro-seek.com/astrological-calendar-2033"
